"doy","secs","observed","level","season1","season2"
1,0,50.2769230769231,127.785229621376,-16.0523577962358,-64.7056378129184
1,1800,49.5884615384615,128.136973415886,-17.9032095334582,-64.7217331832687
1,3600,48.0653846153846,128.477161621262,-19.6159371909336,-64.7383505662623
1,5400,46.8538461538462,128.820068028371,-21.1853590048665,-64.7548754173074
1,7200,45.6076923076923,129.150658082634,-22.6028280292817,-64.7714135589108
1,9000,44.5076923076923,129.470377189538,-23.8801215759208,-64.787853484867
1,10800,43.9192307692308,129.812290935882,-25.0513627025561,-64.8042058629202
1,12600,42.2153846153846,130.080832725905,-26.1569179854311,-64.8207159022907
1,14400,42.45,130.432421594199,-27.2203821122748,-64.836674849607
1,16200,42.8576923076923,130.867042652534,-28.1930201595122,-64.8532426007348
1,18000,43.6961538461538,131.395255150101,-28.9502446797286,-64.8704193878032
1,19800,44.1230769230769,131.943431583714,-29.2849996917829,-64.8882838740487
1,21600,44.5038461538461,132.452671284762,-28.9442179412917,-64.9062903304549
1,23400,45.1836538461539,132.87645664727,-27.6801361641031,-64.9240019553327
1,25200,44.1423076923077,132.997410209904,-25.3157845640138,-64.9410735511059
1,27000,45.1153846153846,132.90868790591,-21.8091899340826,-64.9558924132966
1,28800,44.6115384615385,132.426220760136,-17.2541235354059,-64.9691482459753
1,30600,45.1461538461538,131.599909576247,-11.8979913799029,-64.9794748876654
1,32400,47.5769230769231,130.56999601335,-6.0699529939213,-64.9872408306514
1,34200,47.7192307692308,129.16116982328,-0.121279082159434,-64.9934848572964
1,36000,49.2346153846154,127.528952371362,5.6186709894286,-64.9969057980829
1,37800,50.7346153846154,125.724411618678,10.9220515766643,-64.9986556241086
1,39600,51.9846153846154,123.786398275201,15.6573626665378,-64.999112192914
1,41400,53.6307692307692,121.805654205752,19.77892647532,-64.9985629554898
1,43200,54.2269230769231,119.750192993477,23.295571256643,-64.9976804149798
1,45000,55.0461538461538,117.690442773003,26.2228051675995,-64.9962271422128
1,46800,54.8538461538462,115.592729528716,28.5666700435211,-64.9947252118568
1,48600,55.2,113.550868427926,30.3056026912222,-64.9929248369902
1,50400,53.0923076923077,111.415661047112,31.4135237881293,-64.9915217128381
1,52200,54.1538461538462,109.498541728697,31.8626020819292,-64.9894094261905
1,54000,53.5403846153846,107.699494816477,31.6793103266926,-64.9888975829311
1,55800,52.2820512820513,106.004756590085,30.9072081689426,-64.9892452450121
1,57600,50.8230769230769,104.430916077015,29.6220715428151,-64.9903508131874
1,59400,50.4461538461538,103.088372595201,27.9091302565294,-64.992337765557
1,61200,48.5846153846154,101.868990110553,25.8433239712162,-64.9960254653425
1,63000,48.1192307692308,100.899329869733,23.4581047252245,-65.0006127977352
1,64800,46.9461538461538,100.127588891785,20.7694681417091,-65.0070390124291
1,66600,48.3181818181818,99.7648489730013,17.7721209279783,-65.0149209082805
1,68400,48.2142857142857,99.6844521943363,14.4873932024472,-65.0258249566929
1,70200,47.6692307692308,99.8487340865579,10.9554136015445,-65.0388133976297
1,72000,47.9884615384615,100.319539758441,7.26626650459925,-65.0536080336755
1,73800,48.5653846153846,101.095061167648,3.55331568148316,-65.0706686004076
1,75600,46.6730769230769,101.945624171777,-0.039913063422937,-65.0899829570985
1,77400,46.0653846153846,102.948909174129,-3.40095102085949,-65.1098488105238
1,79200,45.9576923076923,104.10761187927,-6.44751977083104,-65.1308426462279
1,81000,42.8538461538462,105.144805360246,-9.1582216889818,-65.1529850901546
1,82800,41.5769230769231,106.192006860821,-11.5770936021434,-65.1742227423447
1,84600,42.4807692307692,107.402540649836,-13.7553647109466,-65.1955305948594
2,0,42.3615384615385,108.667078965582,-15.7424879719911,-65.218045934223
2,1800,40.9769230769231,109.8690751067,-17.5813728455368,-65.2409585217704
2,3600,40.8038461538462,111.09931346884,-19.2895474131587,-65.2634041201975
2,5400,40.6576923076923,112.346444500156,-20.8559531724053,-65.2860558395588
2,7200,41.1692307692308,113.649647486393,-22.2746732891557,-65.3088296114672
2,9000,40.5038461538461,114.899967419562,-23.5543188150674,-65.3320161065159
2,10800,40.5153846153846,116.147261561703,-24.7322166849691,-65.3548074055968
2,12600,40.8346153846154,117.410964347381,-25.844086144788,-65.3775730911519
2,14400,40.0615384615385,118.598843183912,-26.9034184289376,-65.4004572981865
2,16200,39.5153846153846,119.727710892268,-27.8722292594585,-65.422775977705
2,18000,37.3230769230769,120.65443141784,-28.6266548552261,-65.4446535174089
2,19800,35.3384615384615,121.378903483894,-28.9714690334854,-65.4650279906175
2,21600,34.4961538461538,121.955283386657,-28.655016418612,-65.4838978045365
2,23400,33.6461538461538,122.322304846738,-27.4279740243662,-65.5016638092873
2,25200,33.1076923076923,122.43511198135,-25.1168936898545,-65.5178709593347
2,27000,31.5769230769231,122.144840615188,-21.6717175795363,-65.5321856754289
2,28800,28.4615384615385,121.275643386229,-17.1972975720809,-65.5435027346599
2,30600,27.8461538461538,120.009357629134,-11.937442770269,-65.5505161550369
2,32400,28.4615384615385,118.437787181265,-6.20842481672023,-65.5545722697504
2,34200,31.2307692307692,116.746347931408,-0.35679261887372,-65.5563503641824
2,36000,33.3846153846154,114.910074141455,5.31271854571498,-65.5572244510196
2,37800,38.0769230769231,113.175089441385,10.5659353447208,-65.5570088549922
2,39600,42.1538461538462,111.527405377114,15.2793172323002,-65.5575285407657
2,41400,46.1538461538462,110.001159075846,19.3993480705789,-65.5586801725032
2,43200,48.6153846153846,108.51180146734,22.9247706730226,-65.5607173167267
2,45000,51.6923076923077,107.152020171143,25.8620846745677,-65.563013353791
